question,answer,level,type,active
0 + 0 =,0,0,basic calculation plus,1
0 + 1 =,1,0,basic calculation plus,1
0 + 2 =,2,0,basic calculation plus,1
0 + 3 =,3,0,basic calculation plus,1
0 + 4 =,4,0,basic calculation plus,1
0 + 5 =,5,0,basic calculation plus,1
0 + 6 =,6,0,basic calculation plus,1
0 + 7 =,7,0,basic calculation plus,1
0 + 8 =,8,0,basic calculation plus,1
0 + 9 =,9,0,basic calculation plus,1
0 + 10 =,10,0,basic calculation plus,1
0 + 11 =,11,0,basic calculation plus,1
0 + 12 =,12,0,basic calculation plus,1
0 + 13 =,13,0,basic calculation plus,1
0 + 14 =,14,0,basic calculation plus,1
0 + 15 =,15,0,basic calculation plus,1
0 + 16 =,16,0,basic calculation plus,1
0 + 17 =,17,0,basic calculation plus,1
0 + 18 =,18,0,basic calculation plus,1
0 + 19 =,19,0,basic calculation plus,1
1 + 0 =,1,0,basic calculation plus,1
1 + 1 =,2,0,basic calculation plus,1
1 + 2 =,3,0,basic calculation plus,1
1 + 3 =,4,0,basic calculation plus,1
1 + 4 =,5,0,basic calculation plus,1
1 + 5 =,6,0,basic calculation plus,1
1 + 6 =,7,0,basic calculation plus,1
1 + 7 =,8,0,basic calculation plus,1
1 + 8 =,9,0,basic calculation plus,1
1 + 9 =,10,0,basic calculation plus,1
1 + 10 =,11,0,basic calculation plus,1
1 + 11 =,12,0,basic calculation plus,1
1 + 12 =,13,0,basic calculation plus,1
1 + 13 =,14,0,basic calculation plus,1
1 + 14 =,15,0,basic calculation plus,1
1 + 15 =,16,0,basic calculation plus,1
1 + 16 =,17,0,basic calculation plus,1
1 + 17 =,18,0,basic calculation plus,1
1 + 18 =,19,0,basic calculation plus,1
1 + 19 =,20,0,basic calculation plus,1
2 + 0 =,2,0,basic calculation plus,1
2 + 1 =,3,0,basic calculation plus,1
2 + 2 =,4,0,basic calculation plus,1
2 + 3 =,5,0,basic calculation plus,1
2 + 4 =,6,0,basic calculation plus,1
2 + 5 =,7,0,basic calculation plus,1
